区,エッジ数,総延長km,最大成分%,閉塞リスク中央値,勾配5%超%,最短_4m未満%,平常_4m未満%,地震_4m未満%,最短_閉塞,平常_閉塞,地震_閉塞,地震の遠回り%
世田谷区,69636,1995,97.6,0.43,4.5,7.9,4.8,2.9,0.216,0.2,0.06,7.3
中央区,15043,310,79.9,0.2,4.7,3.2,1.4,1.1,0.081,0.063,0.018,1.8
中野区,17126,557,96.3,0.55,4.4,6.0,5.3,2.9,0.39,0.386,0.174,9.6
北区,22720,673,93.9,0.39,5.0,7.3,6.5,2.4,0.187,0.207,0.079,7.3
千代田区,9894,291,90.7,0.0,6.0,1.2,0.7,0.4,0.063,0.058,0.015,1.8
台東区,14430,380,97.8,0.26,4.3,4.3,2.8,0.3,0.149,0.158,0.027,5.8
品川区,22918,651,77.8,0.49,5.8,7.9,5.7,3.8,0.291,0.281,0.104,8.3
墨田区,16747,480,93.8,0.34,3.1,2.9,2.3,1.5,0.151,0.139,0.043,3.7
大田区,49402,1482,89.5,0.39,6.5,4.8,1.9,0.6,0.224,0.218,0.06,8.3
文京区,10848,350,88.5,0.48,8.6,8.8,3.9,1.2,0.239,0.216,0.052,6.9
新宿区,18542,565,92.2,0.48,9.7,7.6,6.0,5.3,0.252,0.234,0.106,8.7
杉並区,38686,1228,95.2,0.48,2.8,6.1,2.6,1.4,0.335,0.308,0.073,14.7
板橋区,36936,1073,97.8,0.35,7.8,2.4,1.1,0.8,0.198,0.152,0.063,7.2
江戸川区,67741,1610,53.4,0.24,4.0,3.3,2.6,1.3,0.099,0.092,0.036,4.5
江東区,40097,1036,64.8,0.0,5.5,3.5,2.5,0.6,0.098,0.093,0.026,1.8
渋谷区,14185,462,52.3,0.5,9.4,2.8,2.7,1.8,0.166,0.117,0.053,5.7
港区,16312,513,80.4,0.19,8.9,6.3,3.7,1.0,0.184,0.152,0.064,4.8
目黒区,16149,490,87.7,0.51,6.4,7.0,5.2,1.0,0.317,0.294,0.141,7.1
練馬区,54304,1632,91.5,0.38,2.8,1.2,1.0,0.5,0.192,0.189,0.052,6.3
荒川区,12572,360,95.5,0.47,3.0,8.9,7.1,1.9,0.326,0.325,0.095,9.6
葛飾区,52593,1198,95.6,0.3,3.8,6.9,2.4,2.8,0.138,0.126,0.039,5.6
豊島区,16264,456,95.9,0.58,4.1,16.5,8.9,1.4,0.405,0.384,0.114,11.4
足立区,61567,1794,94.4,0.22,2.4,5.2,2.6,0.7,0.125,0.112,0.029,4.0
