区,標高中央値m,勾配5%超%,勾配8%超%,勾配p95
新宿区,28.8,9.7,6.5,10.4
渋谷区,32.1,9.4,4.6,7.7
港区,9.9,8.9,5.3,8.3
文京区,20.3,8.6,4.6,7.6
板橋区,22.3,7.8,4.7,7.6
大田区,4.2,6.5,4.1,6.7
目黒区,28.0,6.4,3.3,6.0
千代田区,5.1,6.0,4.3,6.3
品川区,12.6,5.8,3.4,5.8
江東区,1.7,5.5,4.3,6.2
北区,5.6,5.0,3.1,5.0
江戸川区,-0.5,4.8,3.7,4.8
中央区,2.6,4.7,3.7,4.6
世田谷区,37.4,4.5,2.5,4.6
中野区,36.6,4.4,2.4,4.5
台東区,2.3,4.3,3.7,3.7
豊島区,30.2,4.1,2.7,4.1
葛飾区,0.6,3.9,2.3,3.5
墨田区,-0.1,3.1,2.2,2.6
荒川区,2.0,3.0,2.3,2.3
杉並区,43.8,2.8,1.5,3.2
練馬区,40.9,2.8,1.7,3.0
足立区,1.7,2.4,1.8,1.7
