ward,length_km,width_med,narrow_pct,blockage,slope5,elev
中野区,557.36,4.7,19.67,0.47,4.34,36.6
豊島区,456.0,4.5,24.4,0.45,3.0,30.2
杉並区,1228.37,4.9,20.78,0.44,2.15,43.8
目黒区,490.17,5.3,19.64,0.42,7.42,28.0
荒川区,359.73,5.1,21.69,0.4,1.62,2.0
文京区,350.06,5.4,23.97,0.38,9.64,20.3
新宿区,564.55,5.0,21.06,0.38,8.06,28.8
品川区,651.47,4.7,23.28,0.38,5.44,12.6
渋谷区,461.79,5.1,21.71,0.37,10.39,32.1
世田谷区,1995.47,5.1,16.67,0.37,4.05,37.4
大田区,1482.24,5.6,17.89,0.34,6.33,4.2
北区,672.69,5.1,24.98,0.34,4.86,5.6
練馬区,1631.71,5.4,9.41,0.33,2.22,40.9
墨田区,479.94,5.8,17.22,0.33,1.45,-0.1
板橋区,1072.91,5.9,13.73,0.31,7.52,22.3
台東区,380.47,6.8,10.37,0.3,1.62,2.3
葛飾区,1198.1,4.8,14.93,0.27,1.28,0.8
江戸川区,1609.68,5.2,13.94,0.25,1.68,0.7
足立区,1794.1,6.0,13.5,0.25,1.22,1.7
港区,512.54,6.3,12.36,0.23,9.81,9.9
江東区,1036.39,5.9,15.18,0.18,2.61,1.7
中央区,310.26,6.1,10.74,0.17,2.92,2.6
千代田区,290.78,8.0,7.57,0.15,5.21,5.1
