区,線分数,道幅中央値m,4m未満%,4-6m%,6-12m%,12m以上%
中野区,518474,4.2,14.6,50.7,23.6,11.1
杉並区,1127959,4.5,16.0,48.4,27.9,7.7
豊島区,407095,4.5,20.1,43.0,23.4,13.5
文京区,308716,5.1,20.7,33.8,24.8,20.7
荒川区,334235,5.1,17.3,37.8,29.0,15.9
新宿区,517567,5.2,17.8,35.4,26.2,20.6
渋谷区,406077,5.7,19.1,34.9,26.8,19.1
世田谷区,1819725,5.7,13.8,39.7,37.1,9.4
北区,606935,5.7,22.1,29.7,31.4,16.7
目黒区,442757,5.7,16.5,37.8,33.9,11.8
品川区,593320,5.7,20.6,31.5,28.2,19.7
練馬区,1514320,5.8,8.0,43.6,39.4,8.9
大田区,1345353,6.0,15.4,30.1,38.9,15.6
板橋区,979134,6.0,12.3,31.3,43.3,13.1
江戸川区,635760,6.0,14.9,25.2,39.8,20.0
墨田区,440737,6.0,14.6,29.1,34.0,22.2
足立区,1691211,6.0,11.6,28.7,44.5,15.2
葛飾区,973715,6.0,13.8,31.1,43.2,11.9
台東区,351924,6.2,10.4,17.6,49.5,22.5
港区,451268,6.8,12.3,27.0,29.9,30.8
江東区,951715,7.7,14.7,20.5,32.6,32.2
中央区,256475,8.9,14.7,12.7,37.4,35.2
千代田区,259268,9.5,8.4,14.6,36.6,40.3
